permno,ticker,permco,cusip,company,price_x,sheet_row,is_duplicate_row,weight_target,price_y,target_value,shares,value,weight_actual,weight
86356,EBAY,16285,27864210,EBAY INC,87.1,173,False,0.0017783290082619,87.1,15611.065318621386,179,15590.9,0.00155909,0.00155909
70578,ECL,1467,27886510,ECOLAB INC,262.52,174,False,0.0033392945032669,262.52,29314.004532582865,111,29139.719999999998,0.002913972,0.002913972
11404,ED,20499,20911510,CONSOLIDATED EDISON INC,99.32,175,False,0.0018935841278152,99.32,16622.83265261468,167,16586.44,0.001658644,0.001658644
52476,EFX,20659,29442910,EQUIFAX INC,216.98,176,False,0.0026892698961888,216.98,23607.762013530984,108,23433.84,0.002343384,0.002343384
82303,EG,30970,G3223R10,EVEREST GROUP LTD,339.35,177,False,0.0014828950997827,339.35,13017.598068648273,38,12895.300000000001,0.00128953,0.00128953
15720,EIX,21543,28102010,EDISON INTERNATIONAL,60.02,178,False,0.0016109624398324,60.02,14141.83750994941,235,14104.7,0.00141047,0.00141047
82642,EL,31196,51843910,LAUDER ESTEE COS INC,104.72,179,False,0.0011678655830398,104.72,10252.110726137993,97,10157.84,0.001015784,0.001015784
89179,ELV,42273,03675210,ELEVANCE HEALTH INC,350.55,180,False,0.0008115814788826,350.55,7124.469892442823,20,7011.0,0.0007011,0.0007011
82694,EME,14268,29084Q10,EMCOR GROUP INC,611.79,181,False,0.0014586707088958,611.79,12804.944197130524,20,12235.8,0.00122358,0.00122358
22103,EMR,20643,29101110,EMERSON ELECTRIC CO,132.72,182,False,0.004200012046416,132.72,36869.81547901548,277,36763.44,0.0036763440000000002,0.0036763440000000002
75825,EOG,22113,26875P10,EOG RESOURCES INC,105.01,183,False,0.0015576544726824,105.01,13673.873396832378,130,13651.300000000001,0.0013651300000000002,0.0013651300000000002
13210,EPAM,53983,29414B10,EPAM SYSTEMS INC,204.88,184,False,0.0011806102051368,204.88,10363.989420740108,50,10244.0,0.0010244,0.0010244
89617,EQIX,38419,29444U70,EQUINIX INC,766.16,185,False,0.0022938041394159,766.16,20136.164951582497,26,19920.16,0.001992016,0.001992016
79547,EQR,29940,29476L10,EQUITY RESIDENTIAL,63.04,186,False,0.0030762782710151,63.04,27005.115928469266,428,26981.12,0.002698112,0.002698112
24328,EQT,20662,26884L10,E Q T CORP,53.6,187,False,0.0007507443180334,53.6,6590.410734995583,122,6539.2,0.00065392,0.00065392
82486,ERIE,14013,29530P10,ERIE INDEMNITY CO,286.65,188,False,0.0010545032721582,286.65,9256.95941745401,32,9172.8,0.0009172799999999999,0.0009172799999999999
44206,ES,21299,30040W10,EVERSOURCE ENERGY,67.33,189,False,0.0016126652342337,67.33,14156.785494545837,210,14139.3,0.0014139299999999999,0.0014139299999999999
80681,ESS,30421,29717810,ESSEX PROPERTY TRUST INC,261.68,190,False,0.0025627031289345,261.68,22496.695353990424,85,22242.8,0.00222428,0.00222428
11762,ETN,20627,G2918310,EATON CORP PLC,318.51,191,False,0.0021255208868305,318.51,18658.890028924405,58,18473.579999999998,0.001847358,0.001847358
24010,ETR,21201,29364G10,ENTERGY CORP NEW,92.43,192,False,0.0018071548335186,92.43,15864.112892413894,171,15805.53,0.0015805530000000002,0.0015805530000000002
24053,EVRG,21035,30034W10,EVERGY INC,72.49,193,False,0.0025848580482022,72.49,22691.18236410498,313,22689.37,0.002268937,0.002268937
